feature,coef,odds_ratio,support_share
attire: Unknown,1.3976041182359122,4.045495816834425,0.45191917779486823
cuisine: food trucks,1.230415188457088,3.422650286221266,0.017800461441655598
cuisine: latin american,0.9342269599772359,2.5452451206893327,0.011326295182828777
ambience: intimate,0.9341021562934073,2.544927484543517,0.012025449206460183
cuisine: cafes,0.9026990907954761,2.4662507705572136,0.0385373697825631
cuisine: vegan,0.8922337721704294,2.440575255992086,0.01196951688456967
cuisine: beer bar,0.752559610265501,2.1224256523815495,0.012165280011186464
cuisine: caterers,0.7101010112721432,2.034196725068352,0.033139900720128644
cuisine: gluten-free,0.6913621623070829,1.996433147889422,0.010864853527232049
cuisine: mediterranean,0.6751905345158145,1.9644072276947706,0.017660630636929315
state: CA,0.6322665566012041,1.8818711164676631,0.025854715793889396
cuisine: specialty food,0.621472534780713,1.8616673944438,0.05919037964063483
cuisine: wine bars,0.5773858433951526,1.7813755440033519,0.01666783192337272
cuisine: desserts,0.5472907281377116,1.7285635196670914,0.04455009438579319
wifi: infrequent sklearn,0.5324979374033947,1.7031814400007517,
cuisine: thai,0.46638360043061283,1.5942184249437257,0.013577571138921905
parking street,0.40943281165111317,1.5059633779490418,0.23217506816751732
cuisine: bakeries,0.34765002263199307,1.415736687227663,0.04404670348877858
good for kids,0.26138790372312576,1.2987313504629099,0.5148150737607495
parking validated,0.2600520535796746,1.2969975982764657,0.00862756065161155
cuisine: vietnamese,0.24751905371862415,1.2808437669879595,0.011913584562679158
state: NV,0.24605273649424925,1.278967020000173,0.03680346780395721
cuisine: juice bars & smoothies,0.19919932408194463,1.220425201790611,0.023547507515905754
cuisine: salad,0.19768240704284532,1.2185753214193165,0.04284415856813256
cuisine: cocktail bars,0.1820218513145229,1.1996404073133229,0.02402293225197511
cuisine: indian,0.18038958332882712,1.1976838699131989,0.011717821436062365
cuisine: italian,0.12587259454657232,1.134137663754588,0.06394462700132839
cuisine: barbeque,0.12363728305547483,1.1316053441183211,0.023687338320632034
state: TN,0.10468892626692221,1.110365151194194,0.08237432706425225
state: FL,0.1013955617589529,1.106714329058199,0.16785289799342795
ambience: classy,0.0939300425800326,1.0984828961998045,0.08712857442494581
cuisine: sandwiches,0.08129957528253122,1.08469579594795,0.11698245123400686
attire: casual,0.07655216752198755,1.0795585067603468,0.5353562189750402
outdoor seating,0.0700096278967004,1.072518507301905,0.31502481996783893
price,0.06163884912224101,1.0635781631712615,0.8207229252604349
state: IL,0.04950904298359475,1.0507550941329398,0.017520799832203036
cuisine: vegetarian,0.04426414312349031,1.0452584162499063,0.016192407187303363
cuisine: mexican,0.042898207645343835,1.0438316353624744,0.06432217017408935
cuisine: japanese,0.033699625643889154,1.0342738907109277,0.02558903726490946
wifi: no,0.011758492364910623,1.011827895193711,0.2637069146332937
cuisine: tacos,0.001531763611403737,1.00153293736051,0.014262742082080683
state: IN,0.0,1.0,0.0786688107390058
state: MO,0.0,1.0,0.07854296301475215
cuisine: southern,0.0,1.0,0.013815283506956582
cuisine: sushi bars,0.0,1.0,0.02400894917150248
state: infrequent sklearn,0.0,1.0,
cuisine: asian fusion,0.0,1.0,0.021631825491155703
cuisine: greek,0.0,1.0,0.010892819688177305
ambience: trendy,-0.004464275005529883,0.9955456750580192,0.035055582744878695
ambience: romantic,-0.005126702530857224,0.9948864165797288,0.009704257848003914
wifi: free,-0.008748907542990717,0.9912892527804706,0.3461371740194365
cuisine: seafood,-0.016478426350282373,0.9836566002247018,0.04948612179263091
state: LA,-0.04323846546521771,0.9576829885157845,0.07275396769908411
ambience: divey,-0.05863534442171453,0.9430505951243788,0.02052716213381808
state: ID,-0.07031976045183358,0.9320957248988453,0.02641403901279452
ambience: casual,-0.07451779003918167,0.9281909613585324,0.2917429909809131
takeout,-0.07774093312295384,0.9252040852313762,0.7289240019576313
state: AZ,-0.0927110218594786,0.9114568533493165,0.05288401034747955
cuisine: american (new),-0.10734833637267285,0.8982127383230504,0.08525484164161365
reservations,-0.1306737796194815,0.8775039873889213,0.2067538278682794
parking lot,-0.18304930129639824,0.8327271001994678,0.4268894637488639
state: DE,-0.23573181864971465,0.7899925067839078,0.017087324337551564
state: PA,-0.2482042318791431,0.7802005851739671,0.2368454170453751
accepts credit cards,-0.28206698376982414,0.7542231621303291,0.8234775921135427
cuisine: coffee & tea,-0.28960591797160523,0.748558502913591,0.0937285884080263
delivery,-0.33975402008174305,0.7119454255034167,0.4428581416486052
cuisine: cajun/creole,-0.3402827532930936,0.7115690958100547,0.012906383276235755
parking garage,-0.37188890584661694,0.6894308300043085,0.04021533943927847
has tv,-0.4019503937610504,0.6690139321321906,0.47734041809410616
state: NJ,-0.4053539839039347,0.6667407535858352,0.06134377403341956
wifi: Unknown,-0.4097255127817911,0.6638324386504083,0.3853876809061036
ambience: hipster,-0.4128912649808975,0.6617342326004702,0.01563308396839824
cuisine: ice cream & frozen yogurt,-0.4314605128965096,0.6495597112633306,0.03715304481577292
cuisine: bagels,-0.4321635904126477,0.6491031809418603,0.010319513388799552
attire: dressy,-0.45707057717472493,0.6331356535602088,0.011214430539047752
review count (log1p),-0.56480195528946,0.5684727186250511,1.0
attire: infrequent sklearn,-0.6245023406924538,0.5355278726445636,
cuisine: donuts,-0.644618341801088,0.5248628220842665,0.015339439278473048
