feature,level,n,pos_rate,lift_vs_base_pp,delta_vs_rest_pp,phi,odds_ratio,or_ci_lo,or_ci_hi
attire,Unknown,32319,0.10195241189393237,0.04969764016772108,0.09067575101016871,0.20278464619267578,9.953880421009044,9.002655232239317,11.005612553164738
attire,casual,38286,0.011414093924672204,-0.04084067780153908,-0.08789674901372499,-0.1969906086577155,0.10471413119277,0.09466214580748719,0.11583351695572253
