feature,level,n,pos_rate,lift_vs_base_pp,delta_vs_rest_pp,phi,odds_ratio,or_ci_lo,or_ci_hi
wifi,Unknown,27561,0.07985922136352092,0.027604449637309632,0.044913596391959736,0.09822422158489894,2.3967887934575445,2.241474108496687,2.5628654369317974
wifi,free,24754,0.03805445584551992,-0.014200315880691365,-0.02171757640357655,-0.0464269359911658,0.6222862031651034,0.5770293970628912,0.6710925311963517
wifi,no,18859,0.03054244657723103,-0.021712325148980253,-0.02948869897123448,-0.05838925730086661,0.49330084218621695,0.4506618980401886,0.5399740292220802
