feature,level,n,pos_rate,lift_vs_base_pp,delta_vs_rest_pp,phi,odds_ratio,or_ci_lo,or_ci_hi
alcohol,Unknown,28390,0.09707643536456499,0.04482166363835371,0.07432860927760847,0.16341703769716875,4.618804488209586,4.287189400361074,4.976070079504368
alcohol,none,20913,0.030889877109931622,-0.02136489461627966,-0.030194665003028337,-0.06171863349920545,0.4899347192814809,0.44939441121411,0.5341322080729225
alcohol,beer_wine,6237,0.02934102934102934,-0.022913742385181943,-0.025103040636604776,-0.031826706374526385,0.5249830869389898,0.4514517539083207,0.6104910196626687
alcohol,full_bar,15975,0.009514866979655713,-0.04273990474655557,-0.05503320648091324,-0.10300119538140126,0.13921721738503465,0.11824401836630304,0.16391047838370207
