feature,n,point_biserial,spearman
price,58694,-0.005279533262734881,-0.004489521954663762
review_count,71515,-0.06567879862602052,-0.15302484426020413
weekly_hours,3136,-0.09196122396486746,-0.09424021729756238
review_count_log1p,71515,-0.14369116576518318,-0.15302484426020413
